OK                                     , 0, "OK"
FAIL                                   , 1, "Unspecified failure"
ERR_INVALID_ARGUMENT                   , 2, "Invalid argument"
ERR_UNSUPPORTED                        , 3, "Feature is unsupported"
ERR_NO_MEM                             , 4, "Unable to allocate memory"
ERR_NOT_FOUND                          , 5, "Specified key was not found"
ERR_ALREADY_EXISTS                     , 6, "Specified key already exists"
ERR_NO_MORE                            , 7, "Reached end of iteration"
ERR_MODIFIED_WHILE_ITERATING           , 8, "A data structure was modified while iterating over it"
ERR_UNINITIALIZED                      , 9, "A necessary initialization function has not been called first"
ERR_ASSERTION_FAILED                   , 10, "A program assertion check failed"
ERR_INVALID_SWITCH                     , 11, "Invalid switch number"
ERR_INVALID_VLAN                       , 12, "Invalid VLAN ID"
ERR_BUFFER_FULL                        , 13, "Buffer was too small to fit data"
ERR_ADDR_BANK_FULL                     , 14, "MA table bank was full"
ERR_ADDR_NOT_FOUND                     , 15, "Address was not found in MA Table"
ERR_INVALID_ATTRIB                     , 16, "Attribute does not exist"
ERR_ALREADYUSED_PORT                   , 17, "Port is already a member of a LAG"
ERR_FULL_LAG                           , 18, "No room for additional ports in this LAG"
ERR_INVALID_LAG                        , 19, "Invalid LAG identifier"
ERR_INVALID_PORT                       , 20, "Invalid port number"
ERR_NO_FREE_LAG                        , 21, "Reached maximum LAG count"
ERR_INVALID_PORT_STATE                 , 22, "Invalid port state"
ERR_INVALID_SUBMODE                    , 23, "Invalid submode"
ERR_PENDING_LIST_FULL                  , 24, "Pending list is full"
ERR_INVALID_MIRROR                     , 25, "Invalid mirror"
ERR_INVALID_DSTMASK                    , 26, "Invalid destination port mask specified"
ERR_INVALID_SRCMASK                    , 27, "Invalid source port mask"
ERR_INVALID_MACADDR                    , 28, "Invalid MAC address"
ERR_INVALID_PRIORITY                   , 29, "Invalid priority"
ERR_INVALID_ADDR_MATCH                 , 30, "Invalid address match"
ERR_INVALID_TRIG                       , 31, "Invalid trigger number"
ERR_INVALID_ENTRYTYPE                  , 32, "Invalid MAC Address Table entry type"
ERR_TRIG_CONFLICTS                     , 33, "Requested trigger settings conflict with an existing trigger"
ERR_NO_FREE_TRIG                       , 34, "No free trigger slots remaining"
ERR_NO_VLANCOUNTER                     , 35, "No VLAN counter resource available/allocated"
ERR_BAD_SWITCH_CONFIG                  , 36, "Current chip configuration is invalid"
ERR_NO_PLL_LOCK                        , 37, "Unable to lock frame handler PLL"
ERR_NO_BOOT                            , 38, "Switch's Boot FSM did not finish properly"
ERR_INVALID_PORT_MIRROR_GROUP          , 39, "Port mirror group is invalid or already in use"
ERR_NO_PORTS_IN_MIRROR_GROUP           , 40, "No (more) ports left in the port mirror group"
ERR_INVALID_ACL                        , 41, "ACL is invalid or already in use"
ERR_INVALID_ACL_RULE                   , 42, "ACL rule is invalid or already in use"
ERR_ACL_DISABLED                       , 43, "ACL subsystem has not been enabled. See ''QOS_ACL_ENABLE'' for FM2000 devices or ''api.FM4000.boot.ffuEnable'' for FM3000 and FM4000 devices"
ERR_NO_RULES_IN_ACL                    , 44, "No (more) rules left in ACL"
ERR_NO_ACLS                            , 45, "No (more) matching ACLs found"
ERR_ACL_TABLE_FULL                     , 46, "No more trigger hardware resources are available (FM2000 only)"
ERR_ACLS_TOO_BIG                       , 47, "Insufficient hardware resources to support the compiled ACL configuration. See ''FFU_SLICE_ALLOCATIONS''"
ERR_NO_LAGS                            , 48, "No (more) link aggregation groups in system"
ERR_NO_PORTS_IN_LAG                    , 49, "No (more) ports in link aggregation group"
ERR_NO_SWITCHES                        , 50, "No (more) switches"
ERR_INVALID_ACL_IP_VERSION             , 51, "An IP protocol version was indicated for an ACL that is not available on the device being configured"
ERR_INVALID_ACL_PRECEDENCE             , 52, "An ACL precedence value is out of range"
ERR_INVALID_ACL_PARAM                  , 53, "The parameter specified for a particular ACL rule option is not valid for that option"
ERR_INVALID_POLICER                    , 54, "Policer does not exist or cannot be created"
ERR_INVALID_DSCP_MAP                   , 55, "A policer DSCP down map entry is out of range"
ERR_INVALID_SWPRI_MAP                  , 56, "A policer switch priority down map entry is out of range"
ERR_INVALID_ACL_IMAGE                  , 57, "An invalid ACL binary image was specified"
ERR_ACL_COMPILE                        , 58, "The ACL compiler (''fmCompileACL'') was unable to produce a valid ACL binary image from the current ACL configuration, likely due to an invalid configuration (for example specifying an unknown mapper value)"
ERR_ACL_IMAGE_OVERFLOW                 , 59, "The compiled ACL binary image will not fit into the space provided by the caller"
ERR_INVALID_SWITCH_TYPE                , 60, "An unsupported switch type has been provided"
ERR_PARITY                             , 61, "A parity error was encountered when reading a register"
ERR_INVALID_REGISTER_CONTENTS          , 62, "A register contained an illegal or uninterpretable value"
ERR_INVALID_SLICE                      , 63, "Invalid FFU slice specification"
ERR_INVALID_SLOT                       , 64, "The slot argument to an FFU mapper function is out of range"
ERR_SWAG_DUPLICATE_LINK                , 65, "An attempt was made to add a duplicate link to a switch aggregate"
ERR_SWAG_TRUNK_LIST_FULL               , 66, "A switch aggregate switch's trunk list is full - no more links may be added to the trunk"
ERR_SWAG_NO_MORE_TRUNKS                , 67, "A switch aggregate switch has no more trunks available"
ERR_LPORT_DESTS_UNAVAILABLE            , 68, "A block of logical port destination table entries cannot be allocated"
ERR_LPORT_CAM_UNAVAILABLE              , 69, "A logical port CAM/RAM entry cannot be allocated"
ERR_NO_SYMBOL_LOCK                     , 70, "No symbol lock on SERDES (required for BIST)"
ERR_VLAN_ALREADY_EXISTS                , 71, "The vlan already exists and thus cannot be created"
ERR_SWITCH_NOT_UP                      , 72, "The specified switch is not up"
ERR_BAD_BUFFER                         , 73, "Attempt to operate on an invalid buffer pointer"
ERR_FRAME_TOO_LARGE                    , 74, "Frame is too large for sending over the CPU interface"
ERR_INVALID_VCID                       , 75, "The specified VLAN counter group ID does not reference a valid VLAN counter group"
ERR_LOG_PORT_UNAVAILABLE               , 76, "No available unallocated logical ports"
ERR_FFU_RES_OWNED                      , 77, "This FFU resource is already owned by another component"
ERR_NO_FFU_RES_FOUND                   , 78, "No FFU resources are available"
ERR_INVALID_PAUSE_MODE                 , 79, "This property is not valid given the current pause mode"
